tree,branch
DDQCDGJets/srbbggMET;1,crantibbantigg
DDQCDGJets/srbbggMET;1,sideband
DDQCDGJets/srbbggMET;1,idmva_sideband
DDQCDGJets/srbbggMET;1,idmva_presel
DDQCDGJets/srbbggMET;1,DeltaR_j1g1
DDQCDGJets/srbbggMET;1,DeltaR_j2g1
DDQCDGJets/srbbggMET;1,DeltaR_j1g2
DDQCDGJets/srbbggMET;1,DeltaR_j2g2
DDQCDGJets/srbbggMET;1,signal
DDQCDGJets/srbbggMET;1,isdata
DDQCDGJets/srbbggMET;1,isdd
DDQCDGJets/srbbggMET;1,run
DDQCDGJets/srbbggMET;1,lumi
DDQCDGJets/srbbggMET;1,event
DDQCDGJets/srbbggMET;1,weight_preselection
DDQCDGJets/srbbggMET;1,weight_selection
DDQCDGJets/srbbggMET;1,weight_srbbgg
DDQCDGJets/srbbggMET;1,weight_srbbggMET
DDQCDGJets/srbbggMET;1,weight_crbbantigg
DDQCDGJets/srbbggMET;1,weight_crantibbgg
DDQCDGJets/srbbggMET;1,weight_crantibbantigg
DDQCDGJets/srbbggMET;1,weight_sideband
DDQCDGJets/srbbggMET;1,weight_idmva_sideband
DDQCDGJets/srbbggMET;1,weight_idmva_presel
DDQCDGJets/crantibbgg;1,lead_pho_pt
DDQCDGJets/crantibbgg;1,lead_pho_eta
DDQCDGJets/crantibbgg;1,lead_pho_phi
DDQCDGJets/crantibbgg;1,sublead_pho_pt
DDQCDGJets/crantibbgg;1,sublead_pho_eta
DDQCDGJets/crantibbgg;1,sublead_pho_phi
DDQCDGJets/crantibbgg;1,lead_bjet_pt
DDQCDGJets/crantibbgg;1,lead_bjet_eta
DDQCDGJets/crantibbgg;1,lead_bjet_phi
DDQCDGJets/crantibbgg;1,sublead_bjet_pt
DDQCDGJets/crantibbgg;1,sublead_bjet_eta
DDQCDGJets/crantibbgg;1,sublead_bjet_phi
DDQCDGJets/crantibbgg;1,dibjet_mass
DDQCDGJets/crantibbgg;1,diphoton_mass
DDQCDGJets/crantibbgg;1,bbgg_mass
DDQCDGJets/crantibbgg;1,dibjet_pt
DDQCDGJets/crantibbgg;1,diphoton_pt
DDQCDGJets/crantibbgg;1,bbgg_pt
DDQCDGJets/crantibbgg;1,bbgg_eta
DDQCDGJets/crantibbgg;1,bbgg_phi
DDQCDGJets/crantibbgg;1,DeltaPhi_j1MET
DDQCDGJets/crantibbgg;1,DeltaPhi_j2MET
DDQCDGJets/crantibbgg;1,Res_chi_t0
DDQCDGJets/crantibbgg;1,Res_chi_t1
DDQCDGJets/crantibbgg;1,lepton1_mvaID
DDQCDGJets/crantibbgg;1,lepton1_pt
DDQCDGJets/crantibbgg;1,lepton1_pfIsoId
DDQCDGJets/crantibbgg;1,n_jets
DDQCDGJets/crantibbgg;1,weight_central
DDQCDGJets/crantibbgg;1,dibjet_eta
DDQCDGJets/crantibbgg;1,dibjet_phi
DDQCDGJets/crantibbgg;1,diphoton_eta
DDQCDGJets/crantibbgg;1,diphoton_phi
DDQCDGJets/crantibbgg;1,lead_bjet_PNetB
DDQCDGJets/crantibbgg;1,sublead_bjet_PNetB
DDQCDGJets/crantibbgg;1,lead_bjet_PNetRegPtRawRes
DDQCDGJets/crantibbgg;1,sublead_bjet_PNetRegPtRawRes
DDQCDGJets/crantibbgg;1,pholead_PtOverM
DDQCDGJets/crantibbgg;1,phosublead_PtOverM
DDQCDGJets/crantibbgg;1,FirstJet_PtOverM
DDQCDGJets/crantibbgg;1,SecondJet_PtOverM
DDQCDGJets/crantibbgg;1,CosThetaStar_CS
DDQCDGJets/crantibbgg;1,CosThetaStar_jj
DDQCDGJets/crantibbgg;1,CosThetaStar_gg
DDQCDGJets/crantibbgg;1,DeltaR_jg_min
DDQCDGJets/crantibbgg;1,lead_pt_over_diphoton_mass
DDQCDGJets/crantibbgg;1,sublead_pt_over_diphoton_mass
DDQCDGJets/crantibbgg;1,lead_pt_over_dibjet_mass
DDQCDGJets/crantibbgg;1,sublead_pt_over_dibjet_mass
DDQCDGJets/crantibbgg;1,diphoton_bbgg_mass
DDQCDGJets/crantibbgg;1,dibjet_bbgg_mass
DDQCDGJets/crantibbgg;1,lead_pho_mvaID_WP90
DDQCDGJets/crantibbgg;1,lead_pho_mvaID_WP80
DDQCDGJets/crantibbgg;1,sublead_pho_mvaID_WP90
DDQCDGJets/crantibbgg;1,sublead_pho_mvaID_WP80
DDQCDGJets/crantibbgg;1,lead_pho_mvaID
DDQCDGJets/crantibbgg;1,sublead_pho_mvaID
DDQCDGJets/crantibbgg;1,max_gamma_MVA_ID
DDQCDGJets/crantibbgg;1,preselection
DDQCDGJets/crantibbgg;1,selection
DDQCDGJets/crantibbgg;1,srbbgg
DDQCDGJets/crantibbgg;1,srbbggMET
DDQCDGJets/crantibbgg;1,crbbantigg
DDQCDGJets/crantibbgg;1,crantibbgg
DDQCDGJets/crantibbgg;1,crantibbantigg
DDQCDGJets/crantibbgg;1,sideband
DDQCDGJets/crantibbgg;1,idmva_sideband
DDQCDGJets/crantibbgg;1,idmva_presel
DDQCDGJets/crantibbgg;1,DeltaR_j1g1
DDQCDGJets/crantibbgg;1,DeltaR_j2g1
DDQCDGJets/crantibbgg;1,DeltaR_j1g2
DDQCDGJets/crantibbgg;1,DeltaR_j2g2
DDQCDGJets/crantibbgg;1,signal
DDQCDGJets/crantibbgg;1,isdata
DDQCDGJets/crantibbgg;1,isdd
DDQCDGJets/crantibbgg;1,run
DDQCDGJets/crantibbgg;1,lumi
DDQCDGJets/crantibbgg;1,event
DDQCDGJets/crantibbgg;1,weight_preselection
DDQCDGJets/crantibbgg;1,weight_selection
DDQCDGJets/crantibbgg;1,weight_srbbgg
DDQCDGJets/crantibbgg;1,weight_srbbggMET
DDQCDGJets/crantibbgg;1,weight_crbbantigg
DDQCDGJets/crantibbgg;1,weight_crantibbgg
DDQCDGJets/crantibbgg;1,weight_crantibbantigg
DDQCDGJets/crantibbgg;1,weight_sideband
DDQCDGJets/crantibbgg;1,weight_idmva_sideband
DDQCDGJets/crantibbgg;1,weight_idmva_presel
DDQCDGJets/crbbantigg;1,lead_pho_pt
DDQCDGJets/crbbantigg;1,lead_pho_eta
DDQCDGJets/crbbantigg;1,lead_pho_phi
DDQCDGJets/crbbantigg;1,sublead_pho_pt
DDQCDGJets/crbbantigg;1,sublead_pho_eta
DDQCDGJets/crbbantigg;1,sublead_pho_phi
DDQCDGJets/crbbantigg;1,lead_bjet_pt
DDQCDGJets/crbbantigg;1,lead_bjet_eta
DDQCDGJets/crbbantigg;1,lead_bjet_phi
DDQCDGJets/crbbantigg;1,sublead_bjet_pt
DDQCDGJets/crbbantigg;1,sublead_bjet_eta
DDQCDGJets/crbbantigg;1,sublead_bjet_phi
DDQCDGJets/crbbantigg;1,dibjet_mass
DDQCDGJets/crbbantigg;1,diphoton_mass
DDQCDGJets/crbbantigg;1,bbgg_mass
DDQCDGJets/crbbantigg;1,dibjet_pt
DDQCDGJets/crbbantigg;1,diphoton_pt
DDQCDGJets/crbbantigg;1,bbgg_pt
DDQCDGJets/crbbantigg;1,bbgg_eta
DDQCDGJets/crbbantigg;1,bbgg_phi
DDQCDGJets/crbbantigg;1,DeltaPhi_j1MET
DDQCDGJets/crbbantigg;1,DeltaPhi_j2MET
DDQCDGJets/crbbantigg;1,Res_chi_t0
DDQCDGJets/crbbantigg;1,Res_chi_t1
DDQCDGJets/crbbantigg;1,lepton1_mvaID
DDQCDGJets/crbbantigg;1,lepton1_pt
DDQCDGJets/crbbantigg;1,lepton1_pfIsoId
DDQCDGJets/crbbantigg;1,n_jets
DDQCDGJets/crbbantigg;1,weight_central
DDQCDGJets/crbbantigg;1,dibjet_eta
DDQCDGJets/crbbantigg;1,dibjet_phi
DDQCDGJets/crbbantigg;1,diphoton_eta
DDQCDGJets/crbbantigg;1,diphoton_phi
DDQCDGJets/crbbantigg;1,lead_bjet_PNetB
DDQCDGJets/crbbantigg;1,sublead_bjet_PNetB
DDQCDGJets/crbbantigg;1,lead_bjet_PNetRegPtRawRes
DDQCDGJets/crbbantigg;1,sublead_bjet_PNetRegPtRawRes
DDQCDGJets/crbbantigg;1,pholead_PtOverM
DDQCDGJets/crbbantigg;1,phosublead_PtOverM
DDQCDGJets/crbbantigg;1,FirstJet_PtOverM
DDQCDGJets/crbbantigg;1,SecondJet_PtOverM
DDQCDGJets/crbbantigg;1,CosThetaStar_CS
DDQCDGJets/crbbantigg;1,CosThetaStar_jj
DDQCDGJets/crbbantigg;1,CosThetaStar_gg
DDQCDGJets/crbbantigg;1,DeltaR_jg_min
DDQCDGJets/crbbantigg;1,lead_pt_over_diphoton_mass
DDQCDGJets/crbbantigg;1,sublead_pt_over_diphoton_mass
DDQCDGJets/crbbantigg;1,lead_pt_over_dibjet_mass
DDQCDGJets/crbbantigg;1,sublead_pt_over_dibjet_mass
DDQCDGJets/crbbantigg;1,diphoton_bbgg_mass
DDQCDGJets/crbbantigg;1,dibjet_bbgg_mass
DDQCDGJets/crbbantigg;1,lead_pho_mvaID_WP90
DDQCDGJets/crbbantigg;1,lead_pho_mvaID_WP80
DDQCDGJets/crbbantigg;1,sublead_pho_mvaID_WP90
DDQCDGJets/crbbantigg;1,sublead_pho_mvaID_WP80
DDQCDGJets/crbbantigg;1,lead_pho_mvaID
DDQCDGJets/crbbantigg;1,sublead_pho_mvaID
DDQCDGJets/crbbantigg;1,max_gamma_MVA_ID
DDQCDGJets/crbbantigg;1,preselection
DDQCDGJets/crbbantigg;1,selection
DDQCDGJets/crbbantigg;1,srbbgg
DDQCDGJets/crbbantigg;1,srbbggMET
DDQCDGJets/crbbantigg;1,crbbantigg
