category,value
Common columns (UP & DOWN),fatjet4_subjet1_pt
Common columns (UP & DOWN),fatjet4_subjet1_rawFactor
Common columns (UP & DOWN),fatjet4_subjet2_btagDeepB
Common columns (UP & DOWN),fatjet4_subjet2_eta
Common columns (UP & DOWN),fatjet4_subjet2_mass
Common columns (UP & DOWN),fatjet4_subjet2_phi
Common columns (UP & DOWN),fatjet4_subjet2_pt
Common columns (UP & DOWN),fatjet4_subjet2_rawFactor
Common columns (UP & DOWN),fatjet4_tau1
Common columns (UP & DOWN),fatjet4_tau2
Common columns (UP & DOWN),fatjet4_tau3
Common columns (UP & DOWN),fatjet4_tau4
Common columns (UP & DOWN),fiducialClassicalFlag
Common columns (UP & DOWN),fiducialGeometricFlag
Common columns (UP & DOWN),fixedGridRhoAll
Common columns (UP & DOWN),genHiggs_toGG_eta
Common columns (UP & DOWN),genHiggs_toGG_mass
Common columns (UP & DOWN),genHiggs_toGG_phi
Common columns (UP & DOWN),genHiggs_toGG_pt
Common columns (UP & DOWN),genHiggs_tobb_eta
Common columns (UP & DOWN),genHiggs_tobb_mass
Common columns (UP & DOWN),genHiggs_tobb_phi
Common columns (UP & DOWN),genHiggs_tobb_pt
Common columns (UP & DOWN),genWeight
Common columns (UP & DOWN),gen_CosThetaStar_HH
Common columns (UP & DOWN),gen_mHH
Common columns (UP & DOWN),gen_pT_HH
Common columns (UP & DOWN),is_Res
Common columns (UP & DOWN),is_Res_DNNpair
Common columns (UP & DOWN),is_nonRes
Common columns (UP & DOWN),is_nonResReg
Common columns (UP & DOWN),is_nonResReg_DNNpair
Common columns (UP & DOWN),jet10_PNetRegPtRawCorr
Common columns (UP & DOWN),jet10_PNetRegPtRawCorrNeutrino
Common columns (UP & DOWN),jet10_PNetRegPtRawRes
Common columns (UP & DOWN),jet10_btagDeepFlav_B
Common columns (UP & DOWN),jet10_btagDeepFlav_CvB
Common columns (UP & DOWN),jet10_btagDeepFlav_CvL
Common columns (UP & DOWN),jet10_btagDeepFlav_QG
Common columns (UP & DOWN),jet10_btagPNetB
Common columns (UP & DOWN),jet10_btagPNetQvG
Common columns (UP & DOWN),jet10_btagRobustParTAK4B
Common columns (UP & DOWN),jet10_btagRobustParTAK4QG
Common columns (UP & DOWN),jet10_chEmEF
Common columns (UP & DOWN),jet10_charge
Common columns (UP & DOWN),jet10_eta
Common columns (UP & DOWN),jet10_genFlav
Common columns (UP & DOWN),jet10_genMatched
Common columns (UP & DOWN),jet10_hFlav
Common columns (UP & DOWN),jet10_index
Common columns (UP & DOWN),jet10_jetId
Common columns (UP & DOWN),jet10_mass
