mX,mY,region,eff_Loose,eff_Medium,eff_Tight,missing_years
800,400,srbbgg,0.667587,0.415190,0.229167,
800,450,srbbgg,0.642384,0.396646,0.218004,
800,500,srbbgg,0.619226,0.378343,0.204895,
800,550,srbbgg,0.606337,0.362024,0.194952,
800,600,srbbgg,0.595005,0.358107,0.189976,
800,650,srbbgg,0.582527,0.349688,0.188769,
850,90,srbbgg,0.814969,0.587132,0.375605,
850,95,srbbgg,0.811568,0.578077,0.360990,
850,100,srbbgg,0.805806,0.565530,0.358263,
850,125,srbbgg,0.792623,0.550681,0.342205,
850,150,srbbgg,0.776000,0.529017,0.324373,
850,170,srbbgg,0.767540,0.518887,0.310994,
850,200,srbbgg,0.749549,0.495658,0.296705,
850,250,srbbgg,0.719561,0.465761,0.267151,
850,300,srbbgg,0.703712,0.444631,0.253575,
850,350,srbbgg,0.679547,0.427279,0.238936,
850,400,srbbgg,0.663226,0.407133,0.221796,
850,450,srbbgg,0.640745,0.390204,0.213577,
850,500,srbbgg,0.625512,0.377052,0.202341,
850,550,srbbgg,0.602558,0.359671,0.190915,
850,600,srbbgg,0.585669,0.339444,0.179574,
850,650,srbbgg,0.568103,0.336068,0.179790,
850,700,srbbgg,0.566396,0.330911,0.166983,
900,90,srbbgg,0.809509,0.577719,0.359407,
900,95,srbbgg,0.806044,0.568360,0.357927,
900,100,srbbgg,0.801521,0.565454,0.353623,
900,125,srbbgg,0.789621,0.539613,0.328665,
900,150,srbbgg,0.767187,0.520229,0.311717,
900,170,srbbgg,0.764585,0.510661,0.307616,
900,200,srbbgg,0.744099,0.488382,0.288538,
900,250,srbbgg,0.719484,0.463076,0.264527,
900,300,srbbgg,0.698933,0.440606,0.250485,
900,350,srbbgg,0.669283,0.414749,0.231946,
900,400,srbbgg,0.657057,0.400655,0.221530,
900,450,srbbgg,0.632606,0.380484,0.205779,
900,500,srbbgg,0.622731,0.371703,0.199358,
900,550,srbbgg,0.602747,0.354323,0.189247,
900,600,srbbgg,0.582872,0.342519,0.180953,
